peak_sample,peak_time_s
9363569,18288.220703125
9363864,18288.796875
9364158,18289.37109375
9364450,18289.94140625
9364744,18290.515625
9365034,18291.08203125
9365324,18291.6484375
9365605,18292.197265625
9365765,18292.509765625
9366042,18293.05078125
9366429,18293.806640625
9366712,18294.359375
9366897,18294.720703125
9367281,18295.470703125
9367467,18295.833984375
9367859,18296.599609375
9368058,18296.98828125
9368343,18297.544921875
9368630,18298.10546875
9368911,18298.654296875
9369309,18299.431640625
9369612,18300.0234375
9369921,18300.626953125
9370135,18301.044921875
9370426,18301.61328125
9370828,18302.3984375
9371131,18302.990234375
9371327,18303.373046875
9371618,18303.94140625
9372015,18304.716796875
9372202,18305.08203125
9372497,18305.658203125
9372897,18306.439453125
9373189,18307.009765625
9373380,18307.3828125
9373672,18307.953125
9373960,18308.515625
9374358,18309.29296875
9374662,18309.88671875
9374977,18310.501953125
9375184,18310.90625
9375484,18311.4921875
9375792,18312.09375
9376094,18312.68359375
9376398,18313.27734375
9376708,18313.8828125
9377030,18314.51171875
9377353,18315.142578125
9377671,18315.763671875
9377983,18316.373046875
9378293,18316.978515625
9378614,18317.60546875
9378951,18318.263671875
9379263,18318.873046875
9379580,18319.4921875
9379922,18320.16015625
9380252,18320.8046875
9380565,18321.416015625
9380883,18322.037109375
9381200,18322.65625
9381508,18323.2578125
9381929,18324.080078125
9382123,18324.458984375
9382432,18325.0625
9382739,18325.662109375
9383057,18326.283203125
9383366,18326.88671875
9383665,18327.470703125
9384070,18328.26171875
9384374,18328.85546875
9384567,18329.232421875
9384859,18329.802734375
9385156,18330.3828125
9385569,18331.189453125
9385777,18331.595703125
9386076,18332.1796875
9386380,18332.7734375
9386688,18333.375
9386991,18333.966796875
9387399,18334.763671875
9387595,18335.146484375
9387887,18335.716796875
9388284,18336.4921875
9388585,18337.080078125
9388872,18337.640625
9389048,18337.984375
9389333,18338.541015625
9389618,18339.09765625
9389896,18339.640625
9390176,18340.1875
9390566,18340.94921875
9390745,18341.298828125
9391040,18341.875
9391345,18342.470703125
9391644,18343.0546875
9391943,18343.638671875
9392262,18344.26171875
9392572,18344.8671875
9392875,18345.458984375
9393193,18346.080078125
9393517,18346.712890625
9393835,18347.333984375
9394183,18348.013671875
9394530,18348.69140625
9394865,18349.345703125
9395207,18350.013671875
9395538,18350.66015625
9395849,18351.267578125
9396164,18351.8828125
9396487,18352.513671875
9396793,18353.111328125
9397105,18353.720703125
9397428,18354.3515625
9397747,18354.974609375
9398159,18355.779296875
9398570,18356.58203125
9398919,18357.263671875
9399291,18357.990234375
9399639,18358.669921875
9399969,18359.314453125
9400309,18359.978515625
9400631,18360.607421875
9401057,18361.439453125
9401377,18362.064453125
9401585,18362.470703125
9401904,18363.09375
9402246,18363.76171875
9402582,18364.41796875
9402907,18365.052734375
9403282,18365.78515625
9403716,18366.6328125
9404061,18367.306640625
9404404,18367.9765625
9404726,18368.60546875
9405041,18369.220703125
9405369,18369.861328125
9405708,18370.5234375
9406027,18371.146484375
9406353,18371.783203125
9406693,18372.447265625
9407020,18373.0859375
9407341,18373.712890625
9407700,18374.4140625
9408052,18375.1015625
9408387,18375.755859375
9408712,18376.390625
9409046,18377.04296875
9409374,18377.68359375
9409716,18378.3515625
9410074,18379.05078125
9410403,18379.693359375
9410722,18380.31640625
9411080,18381.015625
9411471,18381.779296875
9411795,18382.412109375
9412111,18383.029296875
9412529,18383.845703125
9412737,18384.251953125
9413034,18384.83203125
9413432,18385.609375
9413719,18386.169921875
9413903,18386.529296875
9414189,18387.087890625
9414578,18387.84765625
9414763,18388.208984375
9415048,18388.765625
9415436,18389.5234375
9415734,18390.10546875
9416028,18390.6796875
9416314,18391.23828125
9416498,18391.59765625
9416785,18392.158203125
9417173,18392.916015625
9417465,18393.486328125
9417779,18394.099609375
9418073,18394.673828125
9418253,18395.025390625
9418648,18395.796875
9418833,18396.158203125
9419118,18396.71484375
9419512,18397.484375
9419828,18398.1015625
9420067,18398.568359375
9420371,18399.162109375
